Method,Configuration,Recall,Latency(us)
IVF-Flat(Serial),nlist=64,nprobe=4,0.879,1772
IVF-Flat(Serial),nlist=64,nprobe=8,0.953,2945
IVF-Flat(Serial),nlist=64,nprobe=12,0.9785,4726
IVF-Flat(Serial),nlist=64,nprobe=16,0.9885,6373
IVF-Flat(Serial),nlist=64,nprobe=20,0.992,7943
IVF-Flat(Serial),nlist=64,nprobe=24,0.995,9486
IVF-Flat(Serial),nlist=64,nprobe=32,0.999,12962
IVF-Flat(Serial),nlist=128,nprobe=4,0.8505,798
IVF-Flat(Serial),nlist=128,nprobe=8,0.936,1591
IVF-Flat(Serial),nlist=128,nprobe=12,0.9645,2520
IVF-Flat(Serial),nlist=128,nprobe=16,0.976,3186
IVF-Flat(Serial),nlist=128,nprobe=20,0.983,3793
IVF-Flat(Serial),nlist=128,nprobe=24,0.9885,5620
IVF-Flat(Serial),nlist=128,nprobe=32,0.9935,7492
IVF-Flat(Serial),nlist=256,nprobe=4,0.814,494
IVF-Flat(Serial),nlist=256,nprobe=8,0.914,857
IVF-Flat(Serial),nlist=256,nprobe=12,0.9455,1126
IVF-Flat(Serial),nlist=256,nprobe=16,0.962,1648
IVF-Flat(Serial),nlist=256,nprobe=20,0.9745,2110
IVF-Flat(Serial),nlist=256,nprobe=24,0.982,3010
IVF-Flat(Serial),nlist=256,nprobe=32,0.9895,4052
IVF-Flat(Serial),nlist=512,nprobe=4,0.739,214
IVF-Flat(Serial),nlist=512,nprobe=8,0.858,466
IVF-Flat(Serial),nlist=512,nprobe=12,0.9085,856
IVF-Flat(Serial),nlist=512,nprobe=16,0.933,977
IVF-Flat(Serial),nlist=512,nprobe=20,0.9495,1072
IVF-Flat(Serial),nlist=512,nprobe=24,0.9575,1715
IVF-Flat(Serial),nlist=512,nprobe=32,0.973,1736
IVF-Flat(OpenMP),nlist=64,nprobe=4,0.879,689
IVF-Flat(OpenMP),nlist=64,nprobe=8,0.953,947
IVF-Flat(OpenMP),nlist=64,nprobe=12,0.9785,1137
IVF-Flat(OpenMP),nlist=64,nprobe=16,0.9885,1393
IVF-Flat(OpenMP),nlist=64,nprobe=20,0.992,1796
IVF-Flat(OpenMP),nlist=64,nprobe=24,0.995,1736
IVF-Flat(OpenMP),nlist=64,nprobe=32,0.999,2249
IVF-Flat(OpenMP),nlist=128,nprobe=4,0.8505,371
IVF-Flat(OpenMP),nlist=128,nprobe=8,0.936,440
IVF-Flat(OpenMP),nlist=128,nprobe=12,0.9645,557
IVF-Flat(OpenMP),nlist=128,nprobe=16,0.976,612
IVF-Flat(OpenMP),nlist=128,nprobe=20,0.983,737
IVF-Flat(OpenMP),nlist=128,nprobe=24,0.9885,843
IVF-Flat(OpenMP),nlist=128,nprobe=32,0.9935,1031
IVF-Flat(OpenMP),nlist=256,nprobe=4,0.814,295
IVF-Flat(OpenMP),nlist=256,nprobe=8,0.914,331
IVF-Flat(OpenMP),nlist=256,nprobe=12,0.9455,393
IVF-Flat(OpenMP),nlist=256,nprobe=16,0.962,429
IVF-Flat(OpenMP),nlist=256,nprobe=20,0.9745,500
IVF-Flat(OpenMP),nlist=256,nprobe=24,0.982,558
IVF-Flat(OpenMP),nlist=256,nprobe=32,0.9895,615
IVF-Flat(OpenMP),nlist=512,nprobe=4,0.739,255
IVF-Flat(OpenMP),nlist=512,nprobe=8,0.858,273
IVF-Flat(OpenMP),nlist=512,nprobe=12,0.9085,297
IVF-Flat(OpenMP),nlist=512,nprobe=16,0.933,318
IVF-Flat(OpenMP),nlist=512,nprobe=20,0.9495,366
IVF-Flat(OpenMP),nlist=512,nprobe=24,0.9575,397
IVF-Flat(OpenMP),nlist=512,nprobe=32,0.973,424
IVF-Flat(pthread),nlist=64,nprobe=4,0.879,988
IVF-Flat(pthread),nlist=64,nprobe=8,0.953,1362
IVF-Flat(pthread),nlist=64,nprobe=12,0.9785,1533
IVF-Flat(pthread),nlist=64,nprobe=16,0.9885,1880
IVF-Flat(pthread),nlist=64,nprobe=20,0.992,3654
IVF-Flat(pthread),nlist=64,nprobe=24,0.995,2670
IVF-Flat(pthread),nlist=64,nprobe=32,0.999,3910
IVF-Flat(pthread),nlist=128,nprobe=4,0.8505,844
IVF-Flat(pthread),nlist=128,nprobe=8,0.936,999
IVF-Flat(pthread),nlist=128,nprobe=12,0.9645,1164
IVF-Flat(pthread),nlist=128,nprobe=16,0.976,1256
IVF-Flat(pthread),nlist=128,nprobe=20,0.983,2117
IVF-Flat(pthread),nlist=128,nprobe=24,0.9885,1599
IVF-Flat(pthread),nlist=128,nprobe=32,0.9935,1928
IVF-Flat(pthread),nlist=256,nprobe=4,0.814,808
IVF-Flat(pthread),nlist=256,nprobe=8,0.914,892
IVF-Flat(pthread),nlist=256,nprobe=12,0.9455,965
IVF-Flat(pthread),nlist=256,nprobe=16,0.962,1066
IVF-Flat(pthread),nlist=256,nprobe=20,0.9745,1104
IVF-Flat(pthread),nlist=256,nprobe=24,0.982,1212
IVF-Flat(pthread),nlist=256,nprobe=32,0.9895,1291
IVF-Flat(pthread),nlist=512,nprobe=4,0.739,794
IVF-Flat(pthread),nlist=512,nprobe=8,0.858,826
IVF-Flat(pthread),nlist=512,nprobe=12,0.9085,857
IVF-Flat(pthread),nlist=512,nprobe=16,0.933,888
IVF-Flat(pthread),nlist=512,nprobe=20,0.9495,929
IVF-Flat(pthread),nlist=512,nprobe=24,0.9575,963
IVF-Flat(pthread),nlist=512,nprobe=32,0.973,1030
