Method,Configuration,Recall,Latency(us)
IVF_PTD_T1,N64_P4,0.884,2257.88
IVF_PTD_T2,N64_P4,0.884,1343.16
IVF_PTD_T4,N64_P4,0.884,790.29
IVF_PTD_T8,N64_P4,0.884,778.91
IVF_PTD_T16,N64_P4,0.884,1075.06
IVF_PTD_T1,N64_P8,0.956,3616.75
IVF_PTD_T2,N64_P8,0.956,3673.35
IVF_PTD_T4,N64_P8,0.956,1360.85
IVF_PTD_T8,N64_P8,0.956,1179.54
IVF_PTD_T16,N64_P8,0.956,1579.73
IVF_PTD_T1,N64_P12,0.987,5413.61
IVF_PTD_T2,N64_P12,0.987,3128.96
IVF_PTD_T4,N64_P12,0.987,1665.34
IVF_PTD_T8,N64_P12,0.987,3553.9
IVF_PTD_T16,N64_P12,0.987,1679.56
IVF_PTD_T1,N64_P16,0.995,7312.46
IVF_PTD_T2,N64_P16,0.995,4302.35
IVF_PTD_T4,N64_P16,0.995,2889.44
IVF_PTD_T8,N64_P16,0.995,2470.6
IVF_PTD_T16,N64_P16,0.995,2093.18
IVF_PTD_T1,N64_P20,0.997,9492.64
IVF_PTD_T2,N64_P20,0.997,4999.65
IVF_PTD_T4,N64_P20,0.997,3947.14
IVF_PTD_T8,N64_P20,0.997,2522.54
IVF_PTD_T16,N64_P20,0.997,2339.18
IVF_PTD_T1,N64_P32,1,15467.1
IVF_PTD_T2,N64_P32,1,9111.77
IVF_PTD_T4,N64_P32,1,3746.5
IVF_PTD_T8,N64_P32,1,2722.59
IVF_PTD_T16,N64_P32,1,2908.48
IVF_PTD_T1,N128_P4,0.864,952.79
IVF_PTD_T2,N128_P4,0.864,753.73
IVF_PTD_T4,N128_P4,0.864,520.69
IVF_PTD_T8,N128_P4,0.864,581.95
IVF_PTD_T16,N128_P4,0.864,945.3
IVF_PTD_T1,N128_P8,0.952,1840.19
IVF_PTD_T2,N128_P8,0.952,1271.64
IVF_PTD_T4,N128_P8,0.952,929.14
IVF_PTD_T8,N128_P8,0.952,720.92
IVF_PTD_T16,N128_P8,0.952,1044.93
IVF_PTD_T1,N128_P12,0.974,2702.47
IVF_PTD_T2,N128_P12,0.974,1736.06
IVF_PTD_T4,N128_P12,0.974,935.65
IVF_PTD_T8,N128_P12,0.974,846.13
IVF_PTD_T16,N128_P12,0.974,1071.16
IVF_PTD_T1,N128_P16,0.984,3977.84
IVF_PTD_T2,N128_P16,0.984,2036.94
IVF_PTD_T4,N128_P16,0.984,1372.25
IVF_PTD_T8,N128_P16,0.984,982.43
IVF_PTD_T16,N128_P16,0.984,1268.49
IVF_PTD_T1,N128_P20,0.992,4384.51
IVF_PTD_T2,N128_P20,0.992,2928.78
IVF_PTD_T4,N128_P20,0.992,1506.17
IVF_PTD_T8,N128_P20,0.992,1587.33
IVF_PTD_T16,N128_P20,0.992,3916.97
IVF_PTD_T1,N128_P32,0.999,7779.6
IVF_PTD_T2,N128_P32,0.999,4265.36
IVF_PTD_T4,N128_P32,0.999,2943.28
IVF_PTD_T8,N128_P32,0.999,2389.42
IVF_PTD_T16,N128_P32,0.999,2111.13
IVF_PTD_T1,N256_P4,0.828,588.81
IVF_PTD_T2,N256_P4,0.828,539.64
IVF_PTD_T4,N256_P4,0.828,362.33
IVF_PTD_T8,N256_P4,0.828,401.27
IVF_PTD_T16,N256_P4,0.828,836.32
IVF_PTD_T1,N256_P8,0.924,1000
IVF_PTD_T2,N256_P8,0.924,656.76
IVF_PTD_T4,N256_P8,0.924,443.41
IVF_PTD_T8,N256_P8,0.924,537.16
IVF_PTD_T16,N256_P8,0.924,872.45
IVF_PTD_T1,N256_P12,0.951,1384.98
IVF_PTD_T2,N256_P12,0.951,988.81
IVF_PTD_T4,N256_P12,0.951,1082.44
IVF_PTD_T8,N256_P12,0.951,613.34
IVF_PTD_T16,N256_P12,0.951,827.22
IVF_PTD_T1,N256_P16,0.966,1999.86
IVF_PTD_T2,N256_P16,0.966,1206.86
IVF_PTD_T4,N256_P16,0.966,1409.06
IVF_PTD_T8,N256_P16,0.966,1441.99
IVF_PTD_T16,N256_P16,0.966,2722.94
IVF_PTD_T1,N256_P20,0.976,2613.54
IVF_PTD_T2,N256_P20,0.976,1378.66
IVF_PTD_T4,N256_P20,0.976,1100.57
IVF_PTD_T8,N256_P20,0.976,1029.4
IVF_PTD_T16,N256_P20,0.976,1262.74
IVF_PTD_T1,N256_P32,0.99,4062.86
IVF_PTD_T2,N256_P32,0.99,2294
IVF_PTD_T4,N256_P32,0.99,1446.63
IVF_PTD_T8,N256_P32,0.99,1124.83
IVF_PTD_T16,N256_P32,0.99,3590.66
IVF_PTD_T1,N512_P4,0.737,310.08
IVF_PTD_T2,N512_P4,0.737,333.25
IVF_PTD_T4,N512_P4,0.737,301.92
IVF_PTD_T8,N512_P4,0.737,562.18
IVF_PTD_T16,N512_P4,0.737,767.49
IVF_PTD_T1,N512_P8,0.846,529.09
IVF_PTD_T2,N512_P8,0.846,468.42
IVF_PTD_T4,N512_P8,0.846,401.18
IVF_PTD_T8,N512_P8,0.846,548.35
IVF_PTD_T16,N512_P8,0.846,875.33
IVF_PTD_T1,N512_P12,0.905,836.68
IVF_PTD_T2,N512_P12,0.905,640.4
IVF_PTD_T4,N512_P12,0.905,587.46
IVF_PTD_T8,N512_P12,0.905,433.52
IVF_PTD_T16,N512_P12,0.905,2236.93
IVF_PTD_T1,N512_P16,0.925,1026.1
IVF_PTD_T2,N512_P16,0.925,884.25
IVF_PTD_T4,N512_P16,0.925,473
IVF_PTD_T8,N512_P16,0.925,559.47
IVF_PTD_T16,N512_P16,0.925,1002.96
IVF_PTD_T1,N512_P20,0.947,1314.7
IVF_PTD_T2,N512_P20,0.947,867.41
IVF_PTD_T4,N512_P20,0.947,965.32
IVF_PTD_T8,N512_P20,0.947,726.83
IVF_PTD_T16,N512_P20,0.947,962.71
IVF_PTD_T1,N512_P32,0.975,1994.97
IVF_PTD_T2,N512_P32,0.975,1234.7
IVF_PTD_T4,N512_P32,0.975,1085.25
IVF_PTD_T8,N512_P32,0.975,807.02
IVF_PTD_T16,N512_P32,0.975,1138.03
