algorithm,recall,latency,speedup,latency_ms
Scalar Brute Force,0.99995,9303.17,1.0,9.30317
SSE Optimized Brute Force,0.99995,1996.43,4.659902926724203,1.9964300000000001
AVX Optimized Brute Force,0.99995,1917.21,4.852452261358954,1.91721
Scalar Quantization (SQ),0.987752,1704.64,5.457557020837244,1.7046400000000002
Product Quantization (PQ) M=4,0.10945,515.718,18.039257889001355,0.515718
Product Quantization (PQ) M=8,0.238451,603.71,15.409998177933113,0.6037100000000001
Product Quantization (PQ) M=16,0.434,2658.5,3.4994056798946773,2.6585
Product Quantization (PQ) M=32,0.685149,4488.7,2.0725755786753406,4.4887
Optimized PQ (OPQ) M=4,0.112401,406.9,22.863529122634557,0.4069
Optimized PQ (OPQ) M=8,0.237151,385.0,24.164077922077922,0.385
Optimized PQ (OPQ) M=16,0.4303,2604.6,3.5718229286646705,2.6046
Optimized PQ (OPQ) M=32,0.692049,5935.1,1.5674832774510958,5.9351
Hybrid Search (PQ16+Rerank),0.926455,1023.0,9.094007820136852,1.023
Hybrid Search (PQ32+Rerank),0.99825,1814.0,5.128539140022051,1.814
Hybrid Search (OPQ16+Rerank),0.926906,1055.0,8.818170616113743,1.055
Hybrid Search (OPQ32+Rerank),0.99825,1900.0,4.896405263157895,1.9
Hybrid PQ16+R50,0.8277,1060.5,8.772437529467233,1.0605
Hybrid PQ16+R100,0.9265,1023.0,9.094007820136852,1.023
Hybrid PQ16+R200,0.9798,1214.9,7.657560293028232,1.2149
Hybrid PQ16+R500,0.9982,1813.2,5.130801897198324,1.8132000000000001
