algorithm,recall,latency,speedup
Brute Force,1.0,2.0376,1.0
PQ (M=4),0.1095,0.3334,6.111577684463107
PQ (M=8),0.2385,0.3514,5.798520204894706
PQ (M=16),0.434,2.6585,0.7664472446868534
PQ (M=32),0.6851,4.4887,0.4539398935103705
PQ (M=PQ16+R50),0.8277,1.0605,1.9213578500707211
PQ (M=PQ16+R100),0.9265,1.023,1.9917888563049855
PQ (M=PQ16+R200),0.9798,1.2149,1.6771750761379536
PQ (M=PQ16+R500),0.9982,1.8132,1.1237590999338187
Scalar Brute Force,0.99995,9.30317,0.2190221182672143
SSE Optimized Brute Force,0.99995,1.99643,1.0206218099307263
AVX Optimized Brute Force,0.99995,1.91721,1.0627943730733722
Scalar Quantization (SQ),0.987752,1.7046400000000002,1.1953256992678805
Product Quantization (PQ) M=4,0.10945,0.515718,3.9509964748176327
Product Quantization (PQ) M=8,0.238451,0.588904,3.459986687134066
Product Quantization (PQ) M=16,0.434,4.26076,0.4782245421004703
Product Quantization (PQ) M=32,0.685149,7.06582,0.28837417313206387
Optimized PQ (OPQ) M=4,0.112401,0.445668,4.572013247529551
Optimized PQ (OPQ) M=8,0.237151,0.585076,3.4826244795547923
Optimized PQ (OPQ) M=16,0.4303,4.290439999999999,0.474916325598307
Optimized PQ (OPQ) M=32,0.692049,7.262479999999999,0.2805653165309922
Hybrid Search(PQ16+Rerank),0.926455,0.975008,2.0898290065312284
Hybrid Search(PQ32+Rerank),0.99825,1.29657,1.5715310395890696
Hybrid Search(OPQ16+Rerank),0.926906,0.876938,2.323539406434662
Hybrid Search(OPQ32+Rerank),0.99825,1.29171,1.5774438534965278
