Method,M,efC,efS,Recall,Latency(us)
HNSW(Serial),M=128,efC=100,efS=50,0.9785,118
HNSW(Serial),M=128,efC=100,efS=100,0.9955,179
HNSW(Serial),M=128,efC=100,efS=200,0.9985,361
HNSW(Serial),M=128,efC=100,efS=300,0.9995,630
HNSW(Serial),M=128,efC=100,efS=400,1,709
HNSW(Serial),M=128,efC=100,efS=500,1,878
HNSW(Serial),M=128,efC=150,efS=50,0.978,100
HNSW(Serial),M=128,efC=150,efS=100,0.9955,258
HNSW(Serial),M=128,efC=150,efS=200,0.9985,543
HNSW(Serial),M=128,efC=150,efS=300,0.9995,629
HNSW(Serial),M=128,efC=150,efS=400,1,761
HNSW(Serial),M=128,efC=150,efS=500,1,759
HNSW(Serial),M=128,efC=200,efS=50,0.983,104
HNSW(Serial),M=128,efC=200,efS=100,0.996,290
HNSW(Serial),M=128,efC=200,efS=200,0.999,369
HNSW(Serial),M=128,efC=200,efS=300,1,518
HNSW(Serial),M=128,efC=200,efS=400,1,801
HNSW(Serial),M=128,efC=200,efS=500,1,1345
HNSW(Serial),M=16,efC=100,efS=50,0.969,60
HNSW(Serial),M=16,efC=100,efS=100,0.988,128
HNSW(Serial),M=16,efC=100,efS=200,0.998,229
HNSW(Serial),M=16,efC=100,efS=300,0.999,298
HNSW(Serial),M=16,efC=100,efS=400,1,380
HNSW(Serial),M=16,efC=100,efS=500,1,457
HNSW(Serial),M=16,efC=150,efS=50,0.9675,67
HNSW(Serial),M=16,efC=150,efS=100,0.991,111
HNSW(Serial),M=16,efC=150,efS=200,0.998,351
HNSW(Serial),M=16,efC=150,efS=300,0.9985,299
HNSW(Serial),M=16,efC=150,efS=400,0.9995,403
HNSW(Serial),M=16,efC=150,efS=500,0.9995,553
HNSW(Serial),M=16,efC=200,efS=50,0.9695,84
HNSW(Serial),M=16,efC=200,efS=100,0.9905,108
HNSW(Serial),M=16,efC=200,efS=200,0.999,315
HNSW(Serial),M=16,efC=200,efS=300,0.9995,327
HNSW(Serial),M=16,efC=200,efS=400,1,440
HNSW(Serial),M=16,efC=200,efS=500,1,835
HNSW(Serial),M=24,efC=100,efS=50,0.976,70
HNSW(Serial),M=24,efC=100,efS=100,0.994,152
HNSW(Serial),M=24,efC=100,efS=200,0.998,251
HNSW(Serial),M=24,efC=100,efS=300,0.999,350
HNSW(Serial),M=24,efC=100,efS=400,1,618
HNSW(Serial),M=24,efC=100,efS=500,1,489
HNSW(Serial),M=24,efC=150,efS=50,0.9755,82
HNSW(Serial),M=24,efC=150,efS=100,0.9945,127
HNSW(Serial),M=24,efC=150,efS=200,0.999,374
HNSW(Serial),M=24,efC=150,efS=300,0.9995,671
HNSW(Serial),M=24,efC=150,efS=400,1,760
HNSW(Serial),M=24,efC=150,efS=500,1,607
HNSW(Serial),M=24,efC=200,efS=50,0.9795,87
HNSW(Serial),M=24,efC=200,efS=100,0.995,139
HNSW(Serial),M=24,efC=200,efS=200,0.999,388
HNSW(Serial),M=24,efC=200,efS=300,1,401
HNSW(Serial),M=24,efC=200,efS=400,1,528
HNSW(Serial),M=24,efC=200,efS=500,1,771
HNSW(Serial),M=256,efC=100,efS=50,0.9845,164
HNSW(Serial),M=256,efC=100,efS=100,0.9965,239
HNSW(Serial),M=256,efC=100,efS=200,0.9995,424
HNSW(Serial),M=256,efC=100,efS=300,1,1021
HNSW(Serial),M=256,efC=100,efS=400,1,872
HNSW(Serial),M=256,efC=100,efS=500,1,1028
HNSW(Serial),M=256,efC=150,efS=50,0.985,220
HNSW(Serial),M=256,efC=150,efS=100,0.9965,369
HNSW(Serial),M=256,efC=150,efS=200,0.9995,531
HNSW(Serial),M=256,efC=150,efS=300,1,607
HNSW(Serial),M=256,efC=150,efS=400,1,981
HNSW(Serial),M=256,efC=150,efS=500,1,985
HNSW(Serial),M=256,efC=200,efS=50,0.986,165
HNSW(Serial),M=256,efC=200,efS=100,0.9965,337
HNSW(Serial),M=256,efC=200,efS=200,0.9995,668
HNSW(Serial),M=256,efC=200,efS=300,1,805
HNSW(Serial),M=256,efC=200,efS=400,1,854
HNSW(Serial),M=256,efC=200,efS=500,1,1041
HNSW(Serial),M=8,efC=100,efS=50,0.921,49
HNSW(Serial),M=8,efC=100,efS=100,0.967,113
HNSW(Serial),M=8,efC=100,efS=200,0.9895,256
HNSW(Serial),M=8,efC=100,efS=300,0.9925,277
HNSW(Serial),M=8,efC=100,efS=400,0.995,395
HNSW(Serial),M=8,efC=100,efS=500,0.9965,456
HNSW(Serial),M=8,efC=150,efS=50,0.924,48
HNSW(Serial),M=8,efC=150,efS=100,0.966,82
HNSW(Serial),M=8,efC=150,efS=200,0.9915,183
HNSW(Serial),M=8,efC=150,efS=300,0.994,242
HNSW(Serial),M=8,efC=150,efS=400,0.997,279
HNSW(Serial),M=8,efC=150,efS=500,0.998,380
HNSW(Serial),M=8,efC=200,efS=50,0.9325,66
HNSW(Serial),M=8,efC=200,efS=100,0.9715,77
HNSW(Serial),M=8,efC=200,efS=200,0.992,399
HNSW(Serial),M=8,efC=200,efS=300,0.994,229
HNSW(Serial),M=8,efC=200,efS=400,0.9965,327
HNSW(Serial),M=8,efC=200,efS=500,0.9975,396
HNSW(OpenMP),M=128,efC=100,efS=50,0.9785,308
HNSW(OpenMP),M=128,efC=100,efS=100,0.9955,342
HNSW(OpenMP),M=128,efC=100,efS=200,0.9985,499
HNSW(OpenMP),M=128,efC=100,efS=300,0.9995,1288
HNSW(OpenMP),M=128,efC=100,efS=400,1,2843
HNSW(OpenMP),M=128,efC=100,efS=500,1,2130
HNSW(OpenMP),M=128,efC=150,efS=50,0.978,193
HNSW(OpenMP),M=128,efC=150,efS=100,0.9955,805
HNSW(OpenMP),M=128,efC=150,efS=200,0.9985,647
HNSW(OpenMP),M=128,efC=150,efS=300,0.9995,1361
HNSW(OpenMP),M=128,efC=150,efS=400,1,1972
HNSW(OpenMP),M=128,efC=150,efS=500,1,2343
HNSW(OpenMP),M=128,efC=200,efS=50,0.983,239
HNSW(OpenMP),M=128,efC=200,efS=100,0.996,404
HNSW(OpenMP),M=128,efC=200,efS=200,0.999,544
HNSW(OpenMP),M=128,efC=200,efS=300,1,915
HNSW(OpenMP),M=128,efC=200,efS=400,1,1865
HNSW(OpenMP),M=128,efC=200,efS=500,1,2027
HNSW(OpenMP),M=16,efC=100,efS=50,0.969,101
HNSW(OpenMP),M=16,efC=100,efS=100,0.988,150
HNSW(OpenMP),M=16,efC=100,efS=200,0.998,811
