Method,nlist,m,nprobe,L,Recall,Latency(us)
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=4,L=100,0.7475,80
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=4,L=200,0.826,112
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=4,L=500,0.869,152
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=8,L=100,0.705,182
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=8,L=200,0.822,218
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=8,L=500,0.917,276
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=12,L=100,0.658,220
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=12,L=200,0.795,203
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=12,L=500,0.9165,378
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=16,L=100,0.6145,272
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=16,L=200,0.768,285
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=16,L=500,0.9065,524
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=20,L=100,0.5845,270
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=20,L=200,0.739,327
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=20,L=500,0.8905,427
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=24,L=100,0.5575,523
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=24,L=200,0.7155,585
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=24,L=500,0.8675,425
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=32,L=100,0.5255,464
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=32,L=200,0.681,501
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=32,L=500,0.84,707
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=64,L=100,0.4455,797
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=64,L=200,0.593,814
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=64,L=500,0.7755,991
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=128,L=100,0.3885,1804
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=128,L=200,0.5095,2034
IVF-PQ(Serial)+Rerank,nlist=128,m=16,nprobe=128,L=500,0.6965,1983
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=4,L=100,0.7735,193
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=4,L=200,0.8405,163
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=4,L=500,0.8705,272
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=8,L=100,0.757,238
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=8,L=200,0.852,264
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=8,L=500,0.926,334
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=12,L=100,0.7195,323
IVF-PQ(Serial)+Rerank,nlist=128,m=32,nprobe=12,L=200,0.8395,382
