方法,召回率,延迟(微秒)
FLAT_SEARCH,0.99995,2795.36
FLAT_SEARCH_SQ,0.979653,3668.85
PQ4,0.10935,583.057
PQ8,0.238001,917.648
PQ16,0.4341,1740.72
PQ32,0.685149,3203.74
PQ4_RERANK,0.469,422.842
PQ8_RERANK,0.706851,646.303
PQ16_RERANK,0.926455,964.789
PQ32_RERANK,0.9982,1747.2
IVF_N64_P4,0.892302,1635.27
IVF_N64_P8,0.964053,3190.87
IVF_N64_P12,0.983301,4770.19
IVF_N128_P8,0.935753,1594.91
IVF_N128_P12,0.966152,2375.84
IVF_N128_P16,0.980102,3471.23
IVF_N256_P12,0.946803,1369.97
IVF_N256_P16,0.965303,1714.54
IVF_N256_P24,0.982102,2538.13
IVF_N512_P16,0.937103,925.808
IVF_N512_P20,0.952153,1085.35
IVF_N512_P32,0.976352,1785.96
IVF_OMP_N64_P4,0.892302,702.83
IVF_OMP_N64_P8,0.964053,978.786
IVF_OMP_N64_P12,0.983301,897.549
IVF_OMP_N128_P8,0.935753,483.259
IVF_OMP_N128_P12,0.966152,689.207
IVF_OMP_N128_P16,0.980152,686.923
IVF_OMP_N256_P12,0.946803,418.835
IVF_OMP_N256_P16,0.965303,577.476
IVF_OMP_N256_P24,0.982102,651.37
IVF_OMP_N512_P16,0.937103,408.151
IVF_OMP_N512_P20,0.952153,437.349
IVF_OMP_N512_P32,0.976352,594.75
IVF_PTD_N64_P4,0.892302,1592.07
IVF_PTD_N64_P8,0.964003,1828.92
IVF_PTD_N64_P12,0.983351,2390.17
IVF_PTD_N128_P8,0.935753,1147.41
IVF_PTD_N128_P12,0.966102,1281.23
IVF_PTD_N128_P16,0.980052,1407.42
IVF_PTD_N256_P12,0.946753,1206.24
IVF_PTD_N256_P16,0.965253,1611.96
IVF_PTD_N256_P24,0.982152,1712.07
IVF_PTD_N512_P16,0.937103,1331.8
IVF_PTD_N512_P20,0.952153,1442.25
IVF_PTD_N512_P32,0.976352,1446.44
