Method,Configuration,Recall,Latency(us)
IVF_SERIAL,N64_P4,0.884,1700.07
IVF_SERIAL,N64_P8,0.956,3307.18
IVF_SERIAL,N64_P12,0.987,5085.16
IVF_SERIAL,N64_P16,0.995,7052.91
IVF_SERIAL,N64_P20,0.997,7803.41
IVF_SERIAL,N64_P32,1,12529.5
IVF_SERIAL,N128_P4,0.864,787.97
IVF_SERIAL,N128_P8,0.952,1631.09
IVF_SERIAL,N128_P12,0.974,2183.1
IVF_SERIAL,N128_P16,0.984,3834.01
IVF_SERIAL,N128_P20,0.992,4474.85
IVF_SERIAL,N128_P32,0.999,6339.41
IVF_SERIAL,N256_P4,0.828,399.45
IVF_SERIAL,N256_P8,0.924,804.12
IVF_SERIAL,N256_P12,0.951,1409.04
IVF_SERIAL,N256_P16,0.966,1553.76
IVF_SERIAL,N256_P20,0.976,1984.76
IVF_SERIAL,N256_P32,0.99,3242.58
IVF_SERIAL,N512_P4,0.737,243.54
IVF_SERIAL,N512_P8,0.846,396.31
IVF_SERIAL,N512_P12,0.905,681.01
IVF_SERIAL,N512_P16,0.925,706.67
IVF_SERIAL,N512_P20,0.947,1090.56
IVF_SERIAL,N512_P32,0.975,1564.93
