nlist,nprobe,recall,latency_us,build_time_ms,mpi_processes,omp_threads
64,1,0.489100,221,195,1,4
64,2,0.675701,254,195,1,4
64,4,0.817701,358,195,1,4
64,8,0.918801,550,195,1,4
64,16,0.970401,911,195,1,4
64,32,0.995300,1584,195,1,4
64,64,0.999900,2672,195,1,4
128,1,0.437000,169,241,1,4
128,2,0.611500,194,241,1,4
128,4,0.769500,247,241,1,4
128,8,0.883400,357,241,1,4
128,16,0.950501,544,241,1,4
128,32,0.985700,935,241,1,4
128,64,0.998500,1670,241,1,4
256,1,0.388600,146,394,1,4
256,2,0.555399,153,394,1,4
256,4,0.709000,185,394,1,4
256,8,0.832501,273,394,1,4
256,16,0.914601,367,394,1,4
256,32,0.968001,530,394,1,4
256,64,0.991200,876,394,1,4
512,1,0.353501,120,2289,1,4
512,2,0.495200,126,2289,1,4
512,4,0.656700,149,2289,1,4
512,8,0.790100,182,2289,1,4
512,16,0.890100,240,2289,1,4
512,32,0.946800,345,2289,1,4
512,64,0.981301,542,2289,1,4
