nlist,nprobe,M,efConstruction,efSearch,recall,latency_us,build_time_ms,mpi_processes,omp_threads
64,2,8,100,32,0.656000,53,2007,4,4
64,4,8,100,32,0.797799,68,2007,4,4
64,8,8,100,32,0.898799,110,2007,4,4
64,16,8,100,32,0.949599,214,2007,4,4
64,2,8,100,64,0.667800,67,2007,4,4
64,4,8,100,64,0.810999,80,2007,4,4
64,8,8,100,64,0.913799,142,2007,4,4
64,16,8,100,64,0.965199,277,2007,4,4
64,2,8,100,128,0.671400,91,2007,4,4
64,4,8,100,128,0.815399,101,2007,4,4
64,8,8,100,128,0.918599,3054,2007,4,4
64,16,8,100,128,0.970400,460,2007,4,4
64,2,8,200,32,0.657000,52,2854,4,4
64,4,8,200,32,0.799199,60,2854,4,4
64,8,8,200,32,0.900599,103,2854,4,4
64,16,8,200,32,0.951599,190,2854,4,4
64,2,8,200,64,0.668600,54,2854,4,4
64,4,8,200,64,0.811999,74,2854,4,4
64,8,8,200,64,0.914999,127,2854,4,4
64,16,8,200,64,0.966399,275,2854,4,4
64,2,8,200,128,0.671400,92,2854,4,4
64,4,8,200,128,0.815399,106,2854,4,4
64,8,8,200,128,0.918599,213,2854,4,4
64,16,8,200,128,0.970400,396,2854,4,4
64,2,16,100,32,0.666600,59,1872,4,4
64,4,16,100,32,0.809999,75,1872,4,4
64,8,16,100,32,0.912799,126,1872,4,4
64,16,16,100,32,0.963599,247,1872,4,4
64,2,16,100,64,0.671400,71,1872,4,4
64,4,16,100,64,0.815400,91,1872,4,4
64,8,16,100,64,0.918599,158,1872,4,4
64,16,16,100,64,0.969999,308,1872,4,4
64,2,16,100,128,0.672400,110,1872,4,4
64,4,16,100,128,0.816599,135,1872,4,4
64,8,16,100,128,0.919799,268,1872,4,4
64,16,16,100,128,0.971600,451,1872,4,4
64,2,16,200,32,0.666800,64,2946,4,4
64,4,16,200,32,0.810799,55,2946,4,4
64,8,16,200,32,0.913799,122,2946,4,4
64,16,16,200,32,0.964599,230,2946,4,4
64,2,16,200,64,0.671800,81,2946,4,4
64,4,16,200,64,0.815800,84,2946,4,4
64,8,16,200,64,0.918999,192,2946,4,4
64,16,16,200,64,0.970599,297,2946,4,4
64,2,16,200,128,0.672400,102,2946,4,4
64,4,16,200,128,0.816599,151,2946,4,4
