M,efConstruction,efSearch,sharding_strategy,recall,latency_us,build_time_ms,mpi_processes,omp_threads
8,100,32,ROUND_ROBIN,0.951501,61,1009,4,4
8,100,64,ROUND_ROBIN,0.982500,66,1009,4,4
8,100,128,ROUND_ROBIN,0.995750,107,1009,4,4
8,100,256,ROUND_ROBIN,0.998500,191,1009,4,4
8,200,32,ROUND_ROBIN,0.954626,67,1628,4,4
8,200,64,ROUND_ROBIN,0.985250,79,1628,4,4
8,200,128,ROUND_ROBIN,0.996750,118,1628,4,4
8,200,256,ROUND_ROBIN,0.999000,231,1628,4,4
8,300,32,ROUND_ROBIN,0.955876,53,2120,4,4
8,300,64,ROUND_ROBIN,0.985500,67,2120,4,4
8,300,128,ROUND_ROBIN,0.996375,127,2120,4,4
8,300,256,ROUND_ROBIN,0.999500,204,2120,4,4
16,100,32,ROUND_ROBIN,0.982750,70,1043,4,4
16,100,64,ROUND_ROBIN,0.995000,91,1043,4,4
16,100,128,ROUND_ROBIN,0.999375,160,1043,4,4
16,100,256,ROUND_ROBIN,0.999875,271,1043,4,4
16,200,32,ROUND_ROBIN,0.986750,65,1982,4,4
16,200,64,ROUND_ROBIN,0.996500,96,1982,4,4
16,200,128,ROUND_ROBIN,0.999500,173,1982,4,4
16,200,256,ROUND_ROBIN,0.999875,267,1982,4,4
16,300,32,ROUND_ROBIN,0.984500,75,2860,4,4
16,300,64,ROUND_ROBIN,0.995750,115,2860,4,4
16,300,128,ROUND_ROBIN,0.999500,147,2860,4,4
16,300,256,ROUND_ROBIN,0.999875,289,2860,4,4
24,100,32,ROUND_ROBIN,0.987750,77,1184,4,4
24,100,64,ROUND_ROBIN,0.996000,133,1184,4,4
24,100,128,ROUND_ROBIN,0.999000,172,1184,4,4
24,100,256,ROUND_ROBIN,0.999875,315,1184,4,4
24,200,32,ROUND_ROBIN,0.990250,67,2221,4,4
24,200,64,ROUND_ROBIN,0.997375,121,2221,4,4
24,200,128,ROUND_ROBIN,0.999750,217,2221,4,4
24,200,256,ROUND_ROBIN,0.999875,365,2221,4,4
24,300,32,ROUND_ROBIN,0.991625,91,3193,4,4
24,300,64,ROUND_ROBIN,0.997750,141,3193,4,4
24,300,128,ROUND_ROBIN,0.999500,228,3193,4,4
24,300,256,ROUND_ROBIN,0.999875,352,3193,4,4
32,100,32,ROUND_ROBIN,0.988625,92,1249,4,4
32,100,64,ROUND_ROBIN,0.996250,129,1249,4,4
32,100,128,ROUND_ROBIN,0.999250,189,1249,4,4
32,100,256,ROUND_ROBIN,0.999875,305,1249,4,4
32,200,32,ROUND_ROBIN,0.991625,75,2353,4,4
32,200,64,ROUND_ROBIN,0.998125,140,2353,4,4
32,200,128,ROUND_ROBIN,0.999875,225,2353,4,4
32,200,256,ROUND_ROBIN,0.999875,364,2353,4,4
